author,name,playVolume,rank,score
王不病,【课本宇宙】闰 土 的 史 诗 战 争,10.3万,60,309097
赫萝老师,动 画 区 该 出 道 了,10.6万,61,304508
伊万_iiivan,我竟然改变了周淑怡对二次元虚拟主播的看法？！,20.6万,62,303838
翻拍小分队,【翻拍】一拳超人名场面琦玉vs杰诺斯，师徒之战！,20.6万,63,302135
TUOK肖恩,“盖亚，算了算了！阿古茹他是动真格的！”【打戏分析】,15.5万,64,298798
雾林山远,全程高燃！！2分钟让你感受属于奥特曼的热血战斗！！,14.7万,65,295179
动漫唯美风,用二十部动漫唱一首《有点甜》，牛顿发现了万有引力，而我发现了你！,5.4万,66,290794
植物椿,欠扁男友告诉你女朋友肚子疼怎么办,15.9万,67,290679
裕萝,就你整天呐呐呐呐哦哦哦~,12.4万,68,285353
RockyRoo,【明日方舟动画】ash从零开始的罗德岛生活,8.5万,69,282653
冷淡熊,张飞：我有特殊的征兵技巧！,22.1万,70,282515
粘土人碎碎,从粘土中掏出你们的老婆：初音未来（未上色）,60.7万,71,281438
Tim-him,两只老虎爱跳舞原视频,43.8万,72,279583
捏碳碳碳碳,"""我生气了！""快停下这些无聊的蠢游戏啦！原创动画 | 捏碳",11.2万,73,279291
阿哉吃土,【明日方舟手书】姐就是女王,9.5万,74,277817
艾尔十六,你们旅行者都是这样抽卡的吗？【原神王】,15.5万,75,276133
哀是麦子的球迷,他曾改变了柯南！这是名侦探柯南史上最具代表性的一集！,14.4万,76,276019
他她漫漫聊,【茶余番后】#04 咒术回战剧场版决定！巨人最终季消息及开箱！莱纳的身子谁不馋？,11.2万,77,274811
大大大灯泡,怪猎发售的真实,13.3万,78,272766
光影笔墨,《一拳超人》第三季 49.新“怪人王”诞生，手撕英雄好恐怖！五大龙级怪人合力开启猎杀时刻！（3月最新章）,15.9万,79,272072
老渡鸽,假如狗卷棘开口骂人....,8万,80,267666
杰克大魔王jack,唐三&大魔王 双挂合璧,15.3万,81,265868
开心锤锤,难关一个接一个出现，居然还能乐此不疲,32.6万,82,263851
KARAMERUChannel,地球防卫企鹅队  第一集【KARAMERU】,13.6万,83,258248
谭盐,“不合适”只是分手的借口,12.2万,84,253329
老穆棍,变异蛋！送村民们归西！,16.9万,85,251766
盖世猪猪丶,《一句话反杀渣男》,32.7万,86,251364
秋本溟光Chiaki,【铠甲勇士刑天】街机第七弹宣传动画-自剪原OP版,12.5万,87,245782
天师道的白山正,神作《镖人》有声漫画【大漠篇完结.下-江湖篇开启！】第10期（第二章-大漠-卷十）,5.3万,88,244357
北极の橘猫,莱 纳 的 梦,21.3万,89,244080
回忆の雨夜,为何偏偏，在十几岁的年纪遇见了你,17.7万,90,242284
扶桑大红花丶,史尔特尔手机提示音~,8.5万,91,240738
Guesss你猜,台词数量最多？玩法直接超级加倍？涂装用料碾压DX版？假面骑士铠武CSM成人版战极驱动器开箱把玩对比测评【看一期少一期评测】,11.5万,92,238901
穷馋动画,他跑得这么快，一定是喜欢我！,11.6万,93,238581
星弥Hoshimi,"上网课被同学发现是Vtuber,同学说的第一句话竟是....",39.9万,94,238238
-柿饼杂货铺-,千 手 神 通 ，万 象 森 罗 ！火影微电影《木叶的诞生》,12.8万,95,237695
JJALTOON,[禽兽朋友们] 吉娃娃,14.6万,96,236421
VIVINOS,惊悚剧情短片《Suki Suki Daisuki》【VIVINOS】,22.9万,97,234271
戴萌兔,黑科技紧身胶衣，连触感都还原了！万代Figure-rise LABO明日香 素组试玩,11.9万,98,233989
zcy902,【摸王TV】咒术回战篇 咒术师的日常,8.4万,99,233027
轩轩吃小孩,“大 人，食 大 便 了”,25.4万,100,229273
鲁过一世,寻找惨遭外国政府打击的中国爽文，群友却给了我这些欲罢不能的作品！背后的原因很暖心！【脑洞大开第二期】,58.7万,1,859221
齐天大肾余潇洒,《伍六七》宣布复更！第三季到底水不水？【国动万象】,24.9万,2,455768
嗷嗷不休,【伍六七第3季 玄武国篇】后半篇 伍六七 陷入苦战 对决暗影刺客 梅花十三为了伍六七放弃任务 刺客伍六七第三季 回顾向高燃混剪AMV 5 6 7,21.4万,3,191344
二次CARTOON,【斗破第四季】云韵：退婚？嫣然，你都这么大了还不懂事，萧炎你不嫁师傅来嫁！,15.1万,4,174887
哇周某人,【伍六七】番外来袭，前方高燃！进来感受一下伍六七的魅力吧！,9.8万,5,155765
奇思Cheers,《罗小黑》周更！《灵笼》回归！令无数观众狂喜！【四月国创导视】,10万,6,130267
碧落九重剑,四月国创大指北！小黑能周更？终章看灵笼！,9.7万,7,129986
Muc虚空之翼,鸽王争霸！灵笼与罗小黑同台竞技？原创与续作强强联合！2021国创4月导视,9.3万,8,128279
雾佘,【王也】道长 前路危险，带上我来增加难度吧！,14.7万,9,125493
微风の习习,愿你长寿，我的朋友！,6.9万,10,121719
非人哉工作室,【非人哉动画】藕霸快递，使命必达！,6.1万,11,120272
牛哥小说推荐,书名拉胯，但内容封神，这三本书，你值得拥有！,17.3万,12,118940
次元小主,小时候没明白，长大后才知道这或许就是爱吧！,14.5万,13,111868
那年那兔那天使,《弃佛入魔》动漫MV-残雪,13.5万,14,105584
紫银风,爷关更！《罗小黑战记》众生之门全解析，26秒17帧的极限！,5万,15,87325
艺人红小豆,开胃版《不想长大》，听完多吃两碗饭,4.2万,16,78064
As仙阁王者荣耀俱乐部,“我们只是凡人，不是救世神”,3.5万,17,77765
茶啊二中,当 斗 地 主 遇 上 加 密 通 话,10.8万,18,76481
布里奈德,自律的人类是有多么可怕！,13.2万,19,75839
一图超人,导演表示第3季伍六七不是主角？后5集没他事？那谁有事？,16万,20,74331
天坑院长,国产动漫之我想要个媳妇！（我也想要个媳妇）,8.9万,21,71994
